utgdag;kaupverd;nuvirdi;ist120;ibm2;ib2m2;ib3m2;rism2;bilskurm2;geymm2;two_livunits;two_storey;storeys_3;age_studull;not_concrete;stud1house;bath_fixtures;fjbilsk;lodpflm;landratio;innig_factor;utig_factor;fjarmalastofnunselur;hverfi;gata
25/09/2019;47000;46888;1111;117.5;0;0;0;54.4;0;0;0;0;43;0;1.063;2;0;900;1.216;1.3;1.15;0;2010;0
09/11/2018;9800;9800;1126;77.4;0;0;0;0;0;0;0;0;53;0;1;2;0;267.9;0.362;1;1;0;2010;0
17/07/2016;36500;36493;1111;146;0;0;0;34.5;9.6;0;0;0;11;0;1.157;4;0;799;1.08;1;1;0;2010;0
01/06/2018;38000;37889;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;13;0;1;2;0;658;0.889;1;1;0;2010;0
08/06/2016;40000;39990;1111;177.7;0;0;0;0;0;0;0;0;25;1;1.121;4;0;1020;1.378;1.11;1;0;2010;0
08/02/2020;44300;44279;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;14;0;1;3;0;691;0.934;1;1;0;2010;0
29/09/2017;39000;38691;1121_1123;112.3;0;0;0;31.1;11.8;0;0;0;11;0;1;2;0;691;0.934;1;1;0;2010;0
01/09/2016;28200;28018;1122_1125;110.1;0;0;0;0;0;0;0;0;24;0;1;2;0;423;0.572;1;1;0;2010;0
05/08/2017;37900;37884;1122_1125;168.7;0;0;0;25.6;0;0;0;0;34;0;1;3;0;736;0.995;1;1.06;0;2010;0
29/12/2019;46900;46762;1122_1125;168.7;0;0;0;25.6;0;0;0;0;36;0;1;3;0;736;0.995;1;1.06;0;2010;0
07/02/2015;27000;26819;1111;120;0;0;0;47;0;0;0;0;38;0;1.395;3;0;1080;1.459;0.94;0.94;0;2010;0
05/09/2014;17000;16979;1122_1125;76;0;0;0;0;0;0;0;0;22;0;1;2;0;423;0.572;0.89;1.11;0;2010;0
06/04/2014;31900;31329;1121_1123;101.2;0;0;0;25;6.9;0;0;0;7;0;1;3;0;416;0.562;1;1;0;2010;0
14/09/2018;37000;36961;1121_1123;101.2;0;0;0;25;6.9;0;0;0;11;0;1;3;0;416;0.562;1;1;0;2010;0
16/06/2018;45000;44268;1111;153.9;0;0;0;65.6;0;0;0;0;38;0;1.003;4;0;784;1.059;1.06;0.81;0;2010;0
06/12/2019;35000;34944;1111;104.5;0;0;0;0;0;0;0;0;43;1;1.086;2;0;840;1.135;1.3;1.11;0;2010;0
04/08/2017;48000;47989;1111;144;0;0;0;91.2;0;0;0;0;37;0;1.086;2;0;654;0.884;1;0.94;0;2010;0
13/10/2016;44000;42700;1111;135;0;0;0;42;21;0;0;0;27;0;1;4;0;1020;1.378;0.99;0.94;0;2010;0
12/02/2017;22000;21993;1122_1125;76;0;0;0;0;0;0;0;0;25;0;1;3;0;423;0.572;1.04;1;0;2010;0
14/09/2016;13000;12993;1122_1125;76;0;0;0;0;0;0;0;0;24;0;1;3;0;423;0.572;1.04;1;1;2010;0
27/07/2018;19500;19367;1122_1125;76;0;0;0;0;0;0;0;0;26;0;1;2;0;423;0.572;1.04;1;0;2010;0
21/06/2015;25500;25302;1122_1125;146.5;0;0;0;24.8;0;0;0;0;37;0;1;4;0;667;0.901;0.96;1;1;2010;0
09/07/2014;22800;22800;1122_1125;110.1;0;0;0;0;0;0;0;0;22;0;1;2;0;423;0.572;1;1;0;2010;0
20/12/2019;32000;32000;1111;111;0;0;0;45;0;0;0;0;49;1;1.042;2;0;510;0.689;1;1;0;2010;0
26/08/2017;35000;34972;1111;146.8;0;0;0;46.5;0;0;1;0;77;0;1;3;0;958;1.295;0.94;0.89;0;2010;0
01/02/2015;18500;18500;1111;126.1;14.7;0;0;55.8;0;0;1;0;55;1;1.076;2;0;958;1.295;0.96;0.88;1;2010;0
23/04/2016;35000;31500;1111;144.6;0;0;0;33.2;0;0;0;0;11;1;1.067;2;0;675;0.912;1;1;0;2010;0
14/03/2018;44500;44500;1111;144.6;0;0;0;33.2;0;0;0;0;13;1;1.067;2;0;675;0.912;1;1;0;2010;0
15/02/2020;47000;46915;1111;144.6;0;0;0;33.2;0;0;0;0;15;1;1.067;2;0;675;0.912;1;1;0;2010;0
10/05/2018;24200;24134;1111;141.4;71;0;0;0;0;0;1;0;50;0;1;4;0;881;1.191;1;1;0;2010;0
05/12/2019;33900;33866;1126;112.1;0;0;1.6;57.2;0;0;0;0;67;0;1;2;0;613.1;0.829;1;1;0;2010;0
24/12/2014;10000;10000;1126;87.5;0;0;0;0;3.9;0;0;0;50;1;1;2;0;321.2;0.434;1;1;1;2010;0
09/02/2019;21000;21000;1126;87.4;0;0;2.4;32.2;0;0;0;0;55;1;1;2;0;368.8;0.498;1;1;0;2010;0
04/10/2015;14000;14000;1111;172.9;0;0;23.6;0;0;0;1;0;35;1;1.234;3;0;614;0.83;1;1;1;2010;0
18/09/2019;35000;34986;1111;172.9;0;0;23.6;0;0;0;1;0;39;1;1.234;3;0;614;0.83;1;1;0;2010;0
02/04/2016;15000;15000;1111;165.2;0;0;0;36;0;0;1;0;53;1;1.001;4;0;729;0.985;0.85;0.89;1;2010;0
17/11/2016;38000;37875;1111;116.1;0;0;0;38.4;0;0;0;0;14;0;1;3;0;756;1.022;1;1;0;2010;0
